# NOTE: repo_path entries are relative to this repo root (portable example). Run from repo root or adjust paths.
case_id,repo_path,label,branch
baseline-clean,repos/worktrees/durinn-owasp2021-python-micro-suite/baseline-clean,baseline-clean,baseline-clean
benchmark__sets-and-gt,repos/worktrees/durinn-owasp2021-python-micro-suite/benchmark/sets-and-gt,benchmark/sets-and-gt,benchmark/sets-and-gt
iac-core-terraform-k8s,repos/worktrees/durinn-owasp2021-python-micro-suite/iac-core-terraform-k8s,iac-core-terraform-k8s,iac-core-terraform-k8s
owasp2021-a01-broken-access-control,repos/worktrees/durinn-owasp2021-python-micro-suite/owasp2021-a01-broken-access-control,owasp2021-a01-broken-access-control,owasp2021-a01-broken-access-control
owasp2021-a02-cryptographic-failures,repos/worktrees/durinn-owasp2021-python-micro-suite/owasp2021-a02-cryptographic-failures,owasp2021-a02-cryptographic-failures,owasp2021-a02-cryptographic-failures
owasp2021-a03-injection,repos/worktrees/durinn-owasp2021-python-micro-suite/owasp2021-a03-injection,owasp2021-a03-injection,owasp2021-a03-injection
owasp2021-a04-insecure-design,repos/worktrees/durinn-owasp2021-python-micro-suite/owasp2021-a04-insecure-design,owasp2021-a04-insecure-design,owasp2021-a04-insecure-design
owasp2021-a05-security-misconfiguration,repos/worktrees/durinn-owasp2021-python-micro-suite/owasp2021-a05-security-misconfiguration,owasp2021-a05-security-misconfiguration,owasp2021-a05-security-misconfiguration
owasp2021-a06-vulnerable-outdated-components,repos/worktrees/durinn-owasp2021-python-micro-suite/owasp2021-a06-vulnerable-outdated-components,owasp2021-a06-vulnerable-outdated-components,owasp2021-a06-vulnerable-outdated-components
owasp2021-a07-identification-authentication-failures,repos/worktrees/durinn-owasp2021-python-micro-suite/owasp2021-a07-identification-authentication-failures,owasp2021-a07-identification-authentication-failures,owasp2021-a07-identification-authentication-failures
owasp2021-a08-software-data-integrity-failures,repos/worktrees/durinn-owasp2021-python-micro-suite/owasp2021-a08-software-data-integrity-failures,owasp2021-a08-software-data-integrity-failures,owasp2021-a08-software-data-integrity-failures
owasp2021-a09-security-logging-monitoring-failures,repos/worktrees/durinn-owasp2021-python-micro-suite/owasp2021-a09-security-logging-monitoring-failures,owasp2021-a09-security-logging-monitoring-failures,owasp2021-a09-security-logging-monitoring-failures
owasp2021-a10-ssrf,repos/worktrees/durinn-owasp2021-python-micro-suite/owasp2021-a10-ssrf,owasp2021-a10-ssrf,owasp2021-a10-ssrf
